,ds,y
0,2013-01-01,6
1,2013-01-02,11
2,2013-01-03,16
3,2013-01-04,20
4,2013-01-05,25
5,2013-01-07,30
6,2013-01-08,31
7,2013-01-09,35
8,2013-01-10,38
9,2013-01-11,40
10,2013-01-12,42
11,2013-01-14,46
12,2013-01-15,49
13,2013-01-16,50
14,2013-01-17,51
15,2013-01-18,53
16,2013-01-19,55
17,2013-01-21,56
18,2013-01-22,57
19,2013-01-23,58
20,2013-01-24,59
21,2013-01-25,60
22,2013-01-26,62
23,2013-01-28,64
24,2013-01-29,66
25,2013-01-30,67
26,2013-01-31,68
27,2013-02-01,69
28,2013-02-02,70
29,2013-02-04,71
30,2013-02-05,72
31,2013-02-06,73
32,2013-02-07,74
33,2013-02-08,75
34,2013-02-09,76
35,2013-02-11,77
36,2013-02-12,78
37,2013-02-13,80
38,2013-02-14,82
39,2013-02-15,84
40,2013-02-16,85
41,2013-02-18,87
42,2013-02-19,89
43,2013-02-20,91
44,2013-02-21,93
45,2013-02-22,95
46,2013-02-23,97
47,2013-02-25,99
48,2013-02-26,101
49,2013-02-27,103
50,2013-02-28,105
51,2013-03-01,107
52,2013-03-02,108
53,2013-03-04,110
54,2013-03-05,112
55,2013-03-06,114
56,2013-03-07,116
57,2013-03-08,118
58,2013-03-09,119
59,2013-03-11,121
60,2013-03-12,123
61,2013-03-13,125
62,2013-03-14,127
63,2013-03-15,129
64,2013-03-16,130
65,2013-03-18,132
66,2013-03-19,134
67,2013-03-20,136
68,2013-03-21,138
69,2013-03-22,140
70,2013-03-23,141
71,2013-03-25,143
72,2013-03-26,145
73,2013-03-27,147
74,2013-03-28,149
75,2013-03-29,151
76,2013-03-30,152
77,2013-04-01,154
78,2013-04-02,156
79,2013-04-03,158
80,2013-04-04,160
81,2013-04-05,162
82,2013-04-06,164
83,2013-04-08,166
84,2013-04-09,168
85,2013-04-10,170
86,2013-04-11,172
87,2013-04-12,174
88,2013-04-13,175
89,2013-04-15,177
90,2013-04-16,179
91,2013-04-17,181
92,2013-04-18,183
93,2013-04-19,185
94,2013-04-20,187
95,2013-04-22,189
96,2013-04-23,191
97,2013-04-24,193
98,2013-04-25,195
99,2013-04-26,197
100,2013-04-27,199
101,2013-04-29,201
102,2013-04-30,203
103,2013-05-01,205
